x,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
142,3,Gate,1001972114,,1255011197,75,Ductile Iron,2.38,In Service,4716-5110-00,2017,Surrey,,,Final AB,,,,,,,,,,,,,,,,20171219,20171219,1,49.205666,-122.873856
143,3,Gate,1001897246,,1307111586,75,,,Proposed,4715-5070-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20161118,,0,49.212686,-122.859437
144,3,Gate,1001812185,,1542311542,200,Cast Iron,,In Service,SFPR Seg. 8,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150312,20150312,1,49.211794,-122.794488
145,0,Ball,1000141222,27600,1237911004,75,Ductile Iron,1.02,In Service,4516,2005,Surrey,,LINE BSW-K,Final AB,,,,,,,,,,,,,,,,20051101,,1,49.202185,-122.878563
146,0,Ball,1000141333,27990,1252511318,100,Ductile Iron,0.57,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.207856,-122.874527
147,3,Gate,1002159495,,1878902623,100,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190306,20191023,1,49.050191,-122.702471
148,8,LPS Lateral Gate,1001792795,,1228011461,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.21046,-122.881298
149,3,Gate,1001929226,,1159710060,250,Cast Iron,3.29,In Service,4714-4160-00,2016,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20170501,20170501,1,49.185125,-122.900223
150,8,LPS Lateral Gate,1001793553,,1286711631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213505,-122.865076
151,3,Gate,1001794106,,1258711206,75,Cast Iron,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141031,20141031,1,49.205826,-122.872828
152,3,Gate,1001794146,,1268611218,75,Cast Iron,1.03,In Service,4709-5070-00,2014,,,,Final AB,,,,,,,,,,,,,,,,20141031,20141031,1,49.206034,-122.870084
153,3,Gate,1001408876,,1226311427,100,,0,In Service,4706-4520-00,2012,Surrey,,Normally Closed,Final AB,,,,,,,,,,,,,,,,20120419,20160708,1,49.209836,-122.881766
154,0,Ball,1000141185,27547,1232510768,100,Ductile Iron,0.29,In Service,4516,1978,Surrey,,LINE BSW-J,Final AB,,,,,,,,,,,,,,,,20051030,,1,49.197904,-122.880073
155,0,Ball,1001140661,,1253411587,100,PVC Plastic,,Abandoned,SFPR-2009-RU,2009,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20150318,20160708,0,49.212717,-122.874269
156,3,Gate,1000141251,25922,1496107682,200,Ductile Iron,,In Service,7803-0178-00,2004,Surrey,,,Final AB,,,,,,,,,,,,,,,,20041102,,1,49.141966,-122.8075
157,3,Gate,1001789815,,1168609875,50,Ductile Iron,56.32,In Service,7812-0297-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141009,20141210,1,49.181761,-122.897769
158,3,Gate,1002236196,,1879002376,75,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20200414,20200414,1,49.045724,-122.702476
159,3,Gate,1001196074,,1690307783,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.143689,-122.753934
160,0,Ball,1000141274,27677,1287911484,100,PVC Plastic,1.46,Abandoned,4515,2002,Surrey,,LINE BE-C,Final AB,,,,,,,,,,,,,,,,20051103,20190503,0,49.210841,-122.864749
161,3,Gate,1000141134,24730,1184010666,300,Ductile Iron,0.71,Abandoned,4798-503,1999,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040213,20160708,0,49.196071,-122.893467
162,3,Gate,1001797426,,1606409997,200,Cast Iron,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141119,20141119,1,49.183797,-122.776894
163,3,Gate,1001811186,,1214211141,100,Cast Iron,,In Service,SFPR Seg. 6,2013,Private,,,Final AB,,,,,,,,,,,,,,,,20150303,20200312,1,49.204656,-122.885117
164,3,Gate,1001795843,,1308611545,150,Cast Iron,1.68,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141104,20141104,1,49.211947,-122.859041
165,8,LPS Lateral Gate,1002183355,,1291111585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212682,-122.863859
166,3,Gate,1001557069,,1540403057,150,Cast Iron,36.79,In Service,7806-0263-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20121019,20130125,1,49.05826,-122.795648
167,3,Gate,1000141383,28436,1483308230,300,Ductile Iron,19.1,In Service,4799-3030-00,2005,Surrey,,SEE ALSO S-043-197,Final AB,,,,,,,,,,,,,,,,20060105,20140313,1,49.151887,-122.811015
168,3,Gate,1001160924,,1901903973,600,Ductile Iron,31.1,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100519,20181129,1,49.074609,-122.695992
169,0,Ball,1000141143,27332,1186910665,150,Ductile Iron,0.53,In Service,4516,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051025,,1,49.196047,-122.892668
170,3,Gate,1000141396,28241,1840605220,250,Ductile Iron,3.72,In Service,7897-0028-00,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051201,,1,49.097204,-122.712761
171,8,LPS Lateral Gate,1002183391,,1310411585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212675,-122.858541
172,0,Ball,1000141147,27347,1189210679,100,Ductile Iron,1.17,In Service,4516,1978,Surrey,,LINE BSW-B,Final AB,,,,,,,,,,,,,,,,20051026,,1,49.196304,-122.892045
173,8,LPS Lateral Gate,1001792645,,1218311274,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141028,20160708,1,49.207076,-122.883983
174,3,Gate,1002159465,,1879002474,75,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190306,20190306,1,49.047496,-122.702468
175,8,LPS Lateral Gate,1001793612,,1308711631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213499,-122.858993
176,3,Gate,1000848366,,,75,Ductile Iron,,In Service,7805-0233-00,2007,Surrey,,,Final AB,,,,,,,,,,,,,,,,20080417,20080417,1,49.141571,-122.777649
177,3,Gate,1001435521,,1328705446,200,Cast Iron,,Proposed,S-3077,,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20121004,20180817,1,49.101578,-122.853814
178,0,Ball,1000141367,28178,1277511462,75,Ductile Iron,1.16,Abandoned,4515,1978,Surrey,,LINE BE-D,Final AB,,,,,,,,,,,,,,,,20051128,20190429,0,49.210447,-122.867617
179,3,Gate,1001410400,,1247511276,150,,0.14,In Service,4706-4520-00,2012,Surrey,,Install in Summer 2012,Final AB,,,,,,,,,,,,,,,,20120424,20160708,1,49.207105,-122.875927
180,3,Gate,1001793982,,1298311718,75,Cast Iron,1.12,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.215084,-122.861866
181,3,Gate,1001147452,,1471703526,200,Cast Iron,,Abandoned,F/T,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100122,20180105,0,49.066777,-122.814535
182,2,Expansion Joint,1001897310,,1285411258,75,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190506,20190506,1,49.206753,-122.865451
183,0,Ball,1000141366,28171,1277611431,75,Ductile Iron,1.18,Abandoned,4515,1978,Surrey,,LINE BE-D,Final AB,,,,,,,,,,,,,,,,20051128,20190430,0,49.209885,-122.867594
184,0,Ball,1000829035,,1225110819,,,,In Service,C-4122,,,,,,,,,,,,,,,,,,,,,20070726,20160212,1,49.198841,-122.882131
185,3,Gate,1002207083,,1357011522,,Ductile Iron,,Proposed,7817-0470-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190909,20190909,0,49.211505,-122.845666
186,3,Gate,1001152613,,1399703558,200,Ductile Iron,,In Service,S-535,1986,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100315,20100315,1,49.067375,-122.834347
187,3,Gate,1000141401,22856,1429803560,200,Ductile Iron,,Abandoned,4796-5010-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020604,20160708,0,49.067374,-122.826035
188,2,Expansion Joint,1000795257,,1918805185,250,Ductile Iron,2.35,Abandoned,4704-7540-01,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20060803,20160708,0,49.09653,-122.691214
189,8,LPS Lateral Gate,1001792856,,1231611491,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.210994,-122.8803
190,3,Gate,1001810348,,1176610652,250,Cast Iron,-1.44,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150228,20150228,1,49.195828,-122.895528
191,3,Gate,1001752548,,1603200761,50,,2,In Service,7811-0253-00,2014,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20140606,20140812,1,49.016665,-122.778537
192,8,LPS Lateral Gate,1001792995,,1236811528,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.211663,-122.878854
193,3,Gate,1001200885,,1238410656,100,Steel,,In Service,7806-0035-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110614,20110614,1,49.195886,-122.87846
194,3,Gate,1001410470,,1259111278,150,,0.08,In Service,4706-4520-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20120424,20160708,1,49.20713,-122.872701
195,3,Gate,1000141402,22857,1435303562,100,Ductile Iron,3.41,In Service,4796-5010-00,2001,Metro Vancouver,,BLOWDOWN CHAMBER ON FORCE MAIN SEE S-102-048,Final AB,,,,,,,,,,,,,,,,20020604,20140509,1,49.067436,-122.824549
196,3,Gate,1000141306,24773,1762706877,250,Ductile Iron,2.6,In Service,7898-0162-00,2001,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040304,,1,49.127242,-122.734071
197,8,LPS Lateral Gate,1001794138,,1265711217,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.206026,-122.870899
198,3,Gate,1000141246,22436,1144910391,250,PVC Plastic,2.29,In Service,4797-503,1997,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020103,,1,49.191105,-122.904279
199,3,Gate,1001129837,,1196810228,200,Ductile Iron,,Abandoned,SF-1230,2002,Surrey,,Permanently Closed,Final AB,,,,,,,,,,,,,,,,20090805,20160708,0,49.188143,-122.889965
200,3,Gate,1001211640,,1680807695,75,Ductile Iron,1.28,In Service,7805-0393-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130121,20130121,1,49.142114,-122.75657
201,8,LPS Lateral Gate,1001794013,,1298211670,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.214215,-122.861891
202,2,Expansion Joint,1001161148,,1838604533,500,,3.7,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20100520,1,49.084791,-122.713371
203,3,Gate,1000824684,,1439007896,150,,,In Service,4703-1180-00,2007,Surrey,,,Final AB,,,,,,,,,,,,,,,,20070508,20070508,1,49.145859,-122.823241
204,3,Gate,1000141155,21744,1277411033,100,Ductile Iron,,In Service,7888-0301,1995,Surrey,,CHECK VALVE FOR PRIVATE FM,Final AB,,,,,,,,,,,,,,,,20011026,,1,49.202697,-122.867662
205,3,Gate,1002127882,,1393005428,250,,,In Service,S-3077,2016,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20180815,20180815,1,49.101226,-122.836091
206,0,Ball,1000141166,27437,1206710635,100,Ductile Iron,0.66,In Service,4516,1978,Surrey,,LINE BSW-E,Final AB,,,,,,,,,,,,,,,,20051027,,1,49.195517,-122.887204
207,3,Gate,1001147447,,1472103528,200,Cast Iron,,Abandoned,F/T,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100122,20180105,0,49.066804,-122.81441
208,3,Gate,1001794147,,1268811218,75,Cast Iron,1.03,In Service,4709-5070-00,2014,,,,Final AB,,,,,,,,,,,,,,,,20141031,20141031,1,49.206034,-122.870041
209,3,Gate,1000141205,24602,1113809616,250,Ductile Iron,,Abandoned,SF-2207,2000,Surrey,,SEE ALSO S-019-132,Final AB,,,,,,,,,,,,,,,,20040210,20160708,0,49.177101,-122.912905
210,3,Gate,1002188105,,1921302062,250,,,In Service,4708-5080-00,2018,Surrey,,In Valve Chamber W/ Actuators,Final AB,,,,,,,,,,,,,,,,20190521,20190521,1,49.040017,-122.690869
211,2,Expansion Joint,1001794893,,1272211290,100,Polyethylene,1.45,Abandoned,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141103,20190501,0,49.207345,-122.869108
212,3,Gate,1000824137,,1706408032,50,Ductile Iron,,In Service,7800-0179-00,2007,Surrey,,,Final AB,,,,,,,,,,,,,,,,20070502,20070502,1,49.148188,-122.749476
213,3,Gate,1002201577,,1866202774,100,PVC Plastic,,Proposed,7816-0032-01,,Surrey,,,EC,,,,,,,,,,,,,,,,20190808,20190816,0,49.052932,-122.705945
214,2,Expansion Joint,1001897094,,1279811466,200,,,In Service,4714-5340-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.210527,-122.866986
215,3,Gate,1001810589,,1191210615,250,Cast Iron,0.71,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150302,20150302,1,49.195157,-122.891497
216,3,Gate,1000141127,24709,1176910562,300,Ductile Iron,0.9,Abandoned,4798-503,1999,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040213,20160708,0,49.194201,-122.895439
217,3,Gate,1000141227,21722,1196110578,150,Ductile Iron,,In Service,S-757,1989,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011026,,1,49.194472,-122.890143
218,8,LPS Lateral Gate,1002183895,,1602800779,50,,,In Service,7815-0450-00,2018,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190506,,1,49.016991,-122.778625
219,8,LPS Lateral Gate,1001795850,,1308811547,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141104,20160708,1,49.211979,-122.858966
220,8,LPS Lateral Gate,1002183363,,1303411585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212678,-122.86047
221,3,Gate,1001699695,,1220011307,100,Cast Iron,0.25,In Service,4711-9020-00,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.207664,-122.883509
222,3,Gate,1000141234,22452,1146510633,100,Clay Tile,,In Service,4797-503,1997,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020104,,1,49.195487,-122.903835
223,3,Gate,1001200887,,1238610677,100,Steel,3.3,In Service,,2017,Surrey,,FT02445,Final AB,,,,,,,,,,,,,,,,20110614,20170412,1,49.196265,-122.878407
224,2,Expansion Joint,1001795840,,1308511549,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141104,,1,49.212011,-122.859059
225,3,Gate,1001811902,,1372411632,150,Cast Iron,,In Service,SFPR Seg. 7,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150309,20150309,1,49.213497,-122.841394
226,3,Gate,1001152898,,1263401537,150,Ductile Iron,,In Service,7800-0212-00,2003,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100317,20100317,1,49.030848,-122.87199
227,3,Gate,1000141121,26960,1284711150,200,Ductile Iron,2.95,In Service,4798-504,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20050623,,1,49.204777,-122.865632
228,0,Ball,1000141269,27644,1289011313,150,Ductile Iron,1.43,Abandoned,4515,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051102,20190723,0,49.207744,-122.864462
229,3,Gate,1000141413,22936,1756706809,200,Clay Tile,,In Service,7898-0162-00,2001,Surrey,,PLUG VALVE,Final AB,,,,,,,,,,,,,,,,20020705,,1,49.12603,-122.735709
230,8,LPS Lateral Gate,1001793624,,1312511631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213495,-122.857956
231,3,Gate,1000828066,,1432003561,300,Ductile Iron,,In Service,7803-0222-00,2007,Surrey,,,Final AB,20070626,,,,,,,,,,,,,,,20070703,20070828,1,49.067431,-122.825462
232,3,Gate,1002172045,,1530307829,150,PVC Plastic,,Proposed,7817-0143-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190418,20190418,0,49.14461,-122.798057
233,3,Gate,1001793587,,1308411630,75,Cast Iron,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213491,-122.859068
234,3,Gate,1001985023,,1450405413,250,PVC Plastic,,In Service,SF-1136,2016,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20180219,20180220,1,49.100931,-122.820275
235,0,Ball,1000141279,27711,1289711548,150,Ductile Iron,0.8,Abandoned,7899-0159-00,2002,Surrey,,LINE BE-G,Final AB,,,,,,,,,,,,,,,,20051105,20190503,0,49.212,-122.864236
236,2,Expansion Joint,1001897074,,1278411432,200,,,In Service,4714-5340-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.209919,-122.867363
237,3,Gate,1002127979,,1429605419,200,,,In Service,S-3077,2016,Metro Vancouver,,,Final AB,,,,,,,,,,,,,,,,20180815,20180815,1,49.10104,-122.826004
238,3,Gate,1000141408,,1704110386,,Unknown,,In Service,,,Surrey,,,,,,,,,,,,,,,,,,,20060627,20081014,1,49.190794,-122.749882
239,3,Gate,1001699740,,1220111307,100,Cast Iron,0.25,In Service,4711-9020-00,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.207667,-122.883494
240,0,Ball,1000141339,28023,1252411385,100,Ductile Iron,0.65,Abandoned,4515,1998,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051121,20160708,0,49.20906,-122.874558
241,3,Gate,1001160822,,1209810933,150,Cast Iron,,Abandoned,F/T,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100518,20160708,0,49.200896,-122.886344
242,8,LPS Lateral Gate,1002183899,,1602800799,50,,,In Service,7815-0450-00,2018,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190506,,1,49.017358,-122.778622
243,8,LPS Lateral Gate,1001699727,,1223911381,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.209002,-122.882437
244,3,Gate,1000141249,21774,1377511628,100,Ductile Iron,3.9,In Service,7898-0006-00,2000,Surrey,,,Final AB,,,,,,,,,,,,,,,,20011031,20150310,1,49.21342,-122.839986
245,0,Ball,1000141145,27343,1194810601,150,Ductile Iron,0.74,In Service,4516,1978,Surrey,,,Final AB,,,,,,,,,,,,,,,,20051025,,1,49.194901,-122.890479
246,3,Gate,1001161244,,1840305200,500,Ductile Iron,4.52,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20100520,1,49.096866,-122.712837
247,2,Expansion Joint,1001793546,,1296211630,150,Polyethylene,,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141030,,1,49.21349,-122.862443
248,3,Gate,1001199691,,1708000361,300,Ductile Iron,,In Service,7807-0041-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110603,20110603,1,49.009375,-122.749743
249,3,Gate,1001811888,,1363211624,100,Cast Iron,,In Service,SFPR Seg. 7,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150309,20150309,1,49.213355,-122.843935
250,8,LPS Lateral Gate,1001699710,,1221411333,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208142,-122.883125
251,3,Gate,1001410758,,1265811268,150,,,In Service,4706-4520-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20120425,20160708,1,49.206948,-122.870862
252,3,Gate,1002172044,,1533007790,150,PVC Plastic,,Proposed,7817-0143-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190418,20190418,0,49.143896,-122.797317
253,3,Gate,1001780643,,1878802925,150,Ductile Iron,41.99,In Service,7810-0301-00,2014,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20140912,20140912,1,49.05567,-122.702477
254,3,Gate,1000141281,21605,1600701556,450,Ductile Iron,,In Service,4797-5020-00,2000,Surrey,16th Ave & 160th St,VALVE CHAMBER - 2 OF 4 VALVES,Final AB,,,,,,,,,,,,,,,,20011001,20150710,1,49.031063,-122.779152
255,8,LPS Lateral Gate,1001699708,,1220511317,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.207846,-122.883359
256,0,Ball,1002210337,,1227702982,150,,,In Service,4713-2010-00,2016,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20191011,20191011,1,49.057013,-122.881753
257,3,Gate,1001419811,,1197310230,75,Ductile Iron,,Proposed,7805-0021-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20120730,20120730,0,49.18818,-122.889828
258,0,Ball,1000141183,27542,1224310818,150,Ductile Iron,-0.02,In Service,C-4122,1995,Surrey,,LINE BSW-K  SEE ALSO S-010-070,Final AB,,,,,,,,,,,,,,,,20051030,20160212,1,49.19882,-122.882332
259,3,Gate,1001128818,,1344811436,150,Ductile Iron,,In Service,F/T,,Surrey,Rim 4.86,,Final AB,,,,,,,,,,,,,,,,20090713,20090713,1,49.209959,-122.849041
260,3,Gate,1000141257,24880,1511806926,200,Ductile Iron,,In Service,7801-0235-00,2004,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040415,,1,49.128275,-122.803241
261,3,Gate,1001793368,,1278411630,150,Cast Iron,-0.94,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213501,-122.86738
262,3,Gate,1001897047,,1271111427,200,,,In Service,4714-5340-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190502,20190502,1,49.209822,-122.869386
263,2,Expansion Joint,1001699756,,1210011252,50,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.206681,-122.886273
264,8,LPS Lateral Gate,1001793298,,1255111625,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.213406,-122.873805
265,3,Gate,1000141266,23151,1718708697,150,Ductile Iron,,In Service,4701-501,2002,Surrey,,FLOW METER AND VALVES,Final AB,,,,,,,,,,,,,,,,20021007,,1,49.160206,-122.74601
266,3,Gate,1001157902,,1728410426,300,Steel,,In Service,SF-1784,,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100429,20160805,1,49.191505,-122.743176
267,8,LPS Lateral Gate,1001792648,,1216211235,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141028,20160708,1,49.20636,-122.884574
268,3,Gate,1002201578,,1873802774,100,PVC Plastic,,Proposed,7816-0068-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20190808,20190816,0,49.052928,-122.703858
269,3,Gate,1001410761,,1265811267,75,,,In Service,4706-4520-00,2012,Surrey,,,Final AB,,,,,,,,,,,,,,,,20120425,20160708,1,49.206925,-122.870861
270,3,Gate,1002159758,,1878902773,150,PVC Plastic,,In Service,7807-0395-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20190307,20191023,1,49.052904,-122.702474
271,0,Ball,1000141210,27288,1196710372,100,PVC Plastic,0.68,In Service,4516,1978,Surrey,,LINE BSW-H,Final AB,,,,,,,,,,,,,,,,20051024,,1,49.19076,-122.889969
272,3,Gate,1001422528,,1416007969,100,Ductile Iron,,In Service,4704-6090-00,2015,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20160531,20160712,1,49.147197,-122.829583
273,3,Gate,1000141232,22442,1154310503,250,Ductile Iron,2.49,In Service,4797-503,1997,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020103,,1,49.193133,-122.901689
274,0,Ball,1001140663,,1288711586,150,PVC Plastic,,Abandoned,SFPR-2009-RU,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150318,20160708,0,49.212697,-122.864537
275,3,Gate,1001793219,,1246611580,150,Cast Iron,0.09,In Service,4709-5070-00,2014,Surrey,,,Final AB,,,,,,,,,,,,,,,,20141029,20160708,1,49.212599,-122.876163
276,0,Ball,1000141272,27669,1279011431,75,Ductile Iron,0.87,Abandoned,4515,1978,Surrey,,LINE BE-B,Final AB,,,,,,,,,,,,,,,,20051103,20190430,0,49.209885,-122.86721
277,3,Gate,1001897356,,1538707442,150,Ductile Iron,,In Service,4715-4280-00,2016,Surrey,,Rim 1.67 - For Pressure Monitor,Final AB,,,,,,,,,,,,,,,,20161118,20161118,1,49.137612,-122.795775
278,3,Gate,1001810338,,1171310695,200,Cast Iron,,In Service,SFPR Seg. 6,2013,Surrey,,,Final AB,,,,,,,,,,,,,,,,20150228,20150228,1,49.196597,-122.896977
279,3,Gate,1000852341,,,250,Ductile Iron,3.51,In Service,4703-1010-01,2005,Surrey,,,Final AB,,,,,,,,,,,,,,,,20080611,20080611,1,49.209037,-122.859128
280,8,LPS Lateral Gate,1001793623,,1312711631,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141030,20160708,1,49.213494,-122.857889
281,0,Ball,1000141186,27549,1230410796,100,Ductile Iron,0.31,In Service,4516,1978,Surrey,,LINE BSW-J  SEE ALSO S-010-068,Final AB,,,,,,,,,,,,,,,,20051030,,1,49.198408,-122.880661
282,8,LPS Lateral Gate,1002183358,,1295411585,38,,,In Service,4715-5070-00,2017,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20190503,,1,49.212681,-122.862662
283,0,Ball,1001140628,,1205410968,100,PVC Plastic,,Abandoned,F/T,2009,Surrey,,,Initial AB,,,,,,,,,,,,,,,,20091118,20160708,0,49.201537,-122.88757
284,8,LPS Lateral Gate,1001794065,,1228411322,50,Cast Iron,,In Service,4709-5070-00,2014,Private,,,Final AB,,,,,,,,,,,,,,,,20141031,20160708,1,49.207927,-122.881203
285,0,Ball,1000141350,28087,1265411420,100,Ductile Iron,0.64,Abandoned,4515,1977,Surrey,,LINE BW-A,Final AB,,,,,,,,,,,,,,,,20051122,20160708,0,49.209704,-122.870966
